Name,Info,URL
"An Dương Vương","An Dương Vương (chữ Hán: 安陽王), tên thật là Thục Phán (蜀泮), là một vị vua đã lập nên đất nước Âu Lạc và cũng là vị vua duy nhất cai trị nhà nước này. Âu Lạc là nhà nước thứ hai trong lịch sử Việt Nam sau nhà nước Văn Lang đầu tiên của các vua Hùng.","https://nguoikesu.com/nhan-vat/an-duong-vuong"
"Âu Cơ","Âu Cơ (chữ Hán: 嫗姬), hay phiên âm Ẩu Cơ, là một nhân vật trong truyền thuyết Việt Nam, theo đó bà là tổ mẫu của người Việt.","https://nguoikesu.com/nhan-vat/au-co"
"Bà Triệu","Bà Triệu (chữ Hán: 趙婆), còn được gọi là Triệu Ẩu (趙嫗), Triệu Trinh Nương (趙貞娘), Triệu Thị Trinh (趙氏貞), Triệu Quốc Trinh (225–248), là một trong những vị anh hùng dân tộc trong lịch sử Việt Nam.","https://nguoikesu.com/nhan-vat/ba-trieu"
"Bảo Đại","Bảo Đại (chữ Hán: 保大; 22 tháng 10 năm 1913 – 31 tháng 7 năm 1997), tên khai sinh: Nguyễn Phúc Vĩnh Thụy (阮福永瑞), là vị hoàng đế thứ 13 và là vị vua cuối cùng của triều đại nhà Nguyễn nói riêng và của chế độ quân chủ trong lịch sử Việt Nam nói chung.","https://nguoikesu.com/nhan-vat/bao-dai"
"Bộ Chất","Bộ Chất (?-247) tự Tử Sơn là một tướng Đông Ngô dưới thời Tam Quốc. Ông là một học giả sống ở đất Ngô, làm quân sư cho thủ lĩnh Tôn Quyền vào cuối thời Hậu Hán từ trước khi Đông Ngô ra đời.","https://nguoikesu.com/nhan-vat/bo-chat"
"Bùi Bá Kỳ","Bùi Bá Kỳ (chữ Hán: 裴伯耆, ? - ?) là một võ tướng thời nhà Trần và thời thuộc Minh trong lịch sử Việt Nam.","https://nguoikesu.com/nhan-vat/bui-ba-ky"
"Bùi Bị","Bùi Bị là công thần khai quốc nhà Hậu Lê trong lịch sử Việt Nam.","https://nguoikesu.com/nhan-vat/bui-bi"
"Bùi Cầm Hổ","Bùi Cầm Hổ (chữ Hán: 裴扲虎, 1390 - 1483), là một vị quan triều đình nhà Lê sơ, làm việc cho vua Lê Thái Tổ và Lê Thái Tông. Ông nổi bật với những lần đi sứ sang nhà Minh và việc ngay thẳng can gián giúp vua Lê Thái Tông.","https://nguoikesu.com/nhan-vat/bui-cam-ho"
"Bùi Diễm","Bùi Diễm (sinh năm 1923) là đại sứ Việt Nam Cộng hòa ở Hoa Kỳ từ 1967 đến 1972. Ông từng là học sinh của Đại tướng Võ Nguyên Giáp thời tướng Giáp còn là giáo viên lịch sử tại Trường Tư thục Thăng Long, Hà Nội.","https://nguoikesu.com/nhan-vat/bui-diem"
"Bùi Dương Lịch","Bùi Dương Lịch (chữ Hán: 裴楊瓑; 1757 – 1828) có tên tự là Tồn Thành(存成), hiệu Thạch Phủ(石甫) và Tồn Trai(存齋) ; là một nhà giáo và là văn thần trải ba triều đại khác nhau: Lê trung hưng, Tây Sơn và nhà Nguyễn trong lịch sử Việt Nam.","https://nguoikesu.com/nhan-vat/bui-duong-lich"
